t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz,C11,C12,C44,surrogate_method
0.137143,1.3929,13.3333,5,SC,0.360841,0.154288,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.3929,13.3333,5,SC,0.362289,0.153819,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.3929,13.3333,5,SC,0.36362,0.153366,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.3929,13.3333,5,SC,0.364888,0.152929,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.3929,13.3333,5,SC,0.366138,0.152511,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.5714,13.3333,5,SC,0.258646,0.159041,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.5714,13.3333,5,SC,0.273711,0.158918,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.5714,13.3333,5,SC,0.285973,0.158367,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.5714,13.3333,5,SC,0.296006,0.157614,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.5714,13.3333,5,SC,0.304274,0.156793,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.5714,13.3333,5,SC,0.311148,0.155984,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.5714,13.3333,5,SC,0.316922,0.155232,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.5714,13.3333,5,SC,0.321823,0.154563,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.5714,13.3333,5,SC,0.326033,0.153993,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.5714,13.3333,5,SC,0.329696,0.15353,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.5714,13.3333,5,SC,0.332922,0.153179,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.5714,13.3333,5,SC,0.335802,0.152947,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.5714,13.3333,5,SC,0.338405,0.152838,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.5714,13.3333,5,SC,0.340786,0.152861,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.5714,13.3333,5,SC,0.342985,0.153022,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.75,13.3333,5,SC,0.211875,0.155077,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.75,13.3333,5,SC,0.226288,0.156301,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.75,13.3333,5,SC,0.23872,0.156943,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.75,13.3333,5,SC,0.249407,0.157231,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.75,13.3333,5,SC,0.258592,0.157319,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.75,13.3333,5,SC,0.2665,0.157314,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.75,13.3333,5,SC,0.273329,0.157291,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.75,13.3333,5,SC,0.279245,0.157299,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.75,13.3333,5,SC,0.284387,0.157377,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.75,13.3333,5,SC,0.288866,0.157552,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.75,13.3333,5,SC,0.292772,0.157847,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.75,13.3333,5,SC,0.296175,0.158278,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.75,13.3333,5,SC,0.299129,0.158864,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.75,13.3333,5,SC,0.301671,0.159618,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.75,13.3333,5,SC,0.303825,0.160557,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.9286,13.3333,5,SC,0.171437,0.149622,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.9286,13.3333,5,SC,0.183201,0.152161,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.9286,13.3333,5,SC,0.193801,0.15407,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
