t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz
0.040714,0.5,30.0,5,FCC_face,0.118474,0.127077
0.040714,0.5,30.0,10,FCC_face,0.118444,0.127077
0.040714,0.5,30.0,15,FCC_face,0.118446,0.127077
0.040714,0.5,30.0,20,FCC_face,0.118446,0.127077
0.040714,0.5,33.3333,5,FCC_face,0.078257,0.073397
0.040714,0.5,33.3333,10,FCC_face,0.078261,0.073397
0.040714,0.5,33.3333,15,FCC_face,0.078261,0.073397
0.040714,0.5,33.3333,20,FCC_face,0.078261,0.073397
0.040714,0.5,36.6667,5,FCC_face,0.052834,0.049931
0.040714,0.5,36.6667,10,FCC_face,0.052833,0.049931
0.040714,0.5,36.6667,15,FCC_face,0.052833,0.049931
0.040714,0.5,36.6667,20,FCC_face,0.052833,0.049931
0.040714,0.5,40.0,5,FCC_face,0.037252,0.036655
0.040714,0.5,40.0,10,FCC_face,0.037252,0.036655
0.040714,0.5,40.0,15,FCC_face,0.037252,0.036655
0.040714,0.5,40.0,20,FCC_face,0.037252,0.036655
0.040714,0.6786,10.0,5,FCC_face,0.387338,0.407651
0.040714,0.6786,10.0,10,FCC_face,0.537824,0.41653
0.040714,0.6786,10.0,15,FCC_face,0.568381,0.383506
0.040714,0.6786,10.0,20,FCC_face,0.655004,0.983932
0.040714,0.6786,13.3333,5,FCC_face,0.44857,0.558359
0.040714,0.6786,13.3333,10,FCC_face,0.600189,0.531559
0.040714,0.6786,13.3333,15,FCC_face,0.687737,0.516383
0.040714,0.6786,13.3333,20,FCC_face,0.730571,0.936116
0.040714,0.6786,16.6667,5,FCC_face,0.535154,0.269726
0.040714,0.6786,16.6667,10,FCC_face,0.629029,0.465359
0.040714,0.6786,16.6667,15,FCC_face,0.669936,0.614908
0.040714,0.6786,16.6667,20,FCC_face,0.669728,0.702161
0.040714,0.6786,20.0,5,FCC_face,0.509086,0.759092
0.040714,0.6786,20.0,10,FCC_face,0.588206,0.671378
0.040714,0.6786,20.0,15,FCC_face,0.586766,0.554439
0.040714,0.6786,20.0,20,FCC_face,0.588955,0.607867
0.040714,0.6786,23.3333,5,FCC_face,0.44413,0.384862
0.040714,0.6786,23.3333,10,FCC_face,0.464548,0.59551
0.040714,0.6786,23.3333,15,FCC_face,0.469649,0.552457
0.040714,0.6786,23.3333,20,FCC_face,0.47084,0.5364
0.040714,0.6786,26.6667,5,FCC_face,0.326985,0.570529
0.040714,0.6786,26.6667,10,FCC_face,0.326279,0.45404
0.040714,0.6786,26.6667,15,FCC_face,0.325219,0.454112
0.040714,0.6786,26.6667,20,FCC_face,0.324989,0.457844
0.040714,0.6786,30.0,5,FCC_face,0.220176,0.349329
0.040714,0.6786,30.0,10,FCC_face,0.220429,0.34536
0.040714,0.6786,30.0,15,FCC_face,0.220997,0.344777
0.040714,0.6786,30.0,20,FCC_face,0.220888,0.344725
